"","x"
"322","Caprin1"
"323","Caprin1"
"324","Spred1"
"325","Rad51"
"326","Chac1"
"327","Cops2"
"328","Tmem87b"
"329","Zc3h6"
"330","1700037H04Rik"
"331","Rnf24"
"332","Rassf2"
"333","Cds2"
"334","Polr3f"
"335","Fkbp1a"
"336","Zcchc3"
"337","Nol4l"
"338","Mapre1"
"339","Cpne1"
"340","Cpne1"
"341","Phf20"
"342","Serinc3"
"343","Zswim3"
"344","Elmo2"
"345","Ube2v1"
"346","Snx16"
"347","Tbl1xr1"
"348","Tbl1xr1"
"349","Tbl1xr1"
"350","Tnik"
"351","Phc3"
"352","Ttc14"
"353","Ttc14"
"354","Hspa4l"
"355","Naa15"
"356","Naa15"
"357","Kpna4"
"358","Rapgef2"
"359","Tmem154"
"360","Fbxw7"
"361","Etv3"
"362","Ash1l"
"363","Ube2q1"
"364","Otud7b"
"365","Csde1"
"366","Csde1"
"367","Lrig2"
"368","Gnai3"
"369","Wdr47"
"370","Lamtor3"
"371","Eif4e"
"372","Pdlim5"
"373","Syde2"
"374","Syde2"
"375","Tmem55a"
"376","Wwp1"
"377","Pnisr"
"378","Bach2"
"379","B4galt1"
"380","Ubap1"
"381","Reck"
"382","Rad23b"
"383","Tmem245"
"384","Ak4"
"385","Cc2d1b"
"386","Cmpk1"
"387","Mknk1"
"388","Ago3"
"389","Ago1"
"390","Clspn"
"391","Smim12"
"392","Zfp362"
"393","Pdik1l"
"394","Mtfr1l"
"395","Cdc42"
"396","Cdc42"
"397","Spen"
"398","Dnajc16"
"399","Mfn2"
"400","Kif1b"
"401","Ube4b"
"402","Phf13"
"403","Ski"
"404","Fam133b"
"405","Ankib1"
"406","Cldn12"
"407","Kmt2c"
"408","Nrbp1"
"409","Fosl2"
"410","Pisd"
"411","Ywhah"
"412","Fam193a"
"413","Cpeb2"
"414","Cpeb2"
"415","Lcorl"
"416","Tmem33"
"417","Tmem33"
"418","Fryl"
"419","Clock"
"420","Clock"
"421","Clock"
"422","Cnot6l"
"423","Rasgef1b"
"424","Zfp326"
"425","A830010M20Rik"
"426","Ficd"
"427","1500011B03Rik"
"428","Rnf10"
"429","Atxn2"
"430","Setd1b"
"431","Bcl7a"
"432","Mphosph9"
"433","Mphosph9"
"434","Pom121"
"435","Gigyf1"
"436","Gigyf1"
"437","Zkscan1"
"438","Adap1"
"439","Wipi2"
"440","Usp42"
"441","Smurf1"
"442","Smurf1"
"443","Pdap1"
"444","Usp12"
"445","Mtif3"
"446","Slc7a1"
"447","Slc7a1"
"448","Fry"
"449","Wasl"
"450","Ahcyl2"
"451","Ubn2"
"452","Braf"
"453","Znrf2"
"454","Avl9"
"455","Kbtbd2"
"456","Kbtbd2"
"457","Serbp1"
"458","Vamp8"
"459","Hk2"
"460","Tet3"
"461","Smyd5"
"462","Nup210"
"463","Nr2c2"
"464","Lrig1"
"465","Arl8b"
"466","Irak2"
"467","Tmcc1"
"468","Slc2a3"
"469","Pex5"
"470","Mlf2"
"471","Vamp1"
"472","Ccnd2"
"473","Ccnd2"
"474","Ccnd2"
"475","Lrp6"
"476","Lrp6"
"477","Crebl2"
"478","Wbp11"
"479","Etnk1"
"480","Myadm"
"481","Myadm"
"482","Cox6b2"
"483","Arhgap35"
"484","Fkrp"
"485","Clasrp"
"486","Kcnn4"
"487","Rabac1"
"488","Lipe"
"489","Egln2"
"490","Egln2"
"491","Rab4b"
"492","Rab4b"
"493","Ccne1"
"494","Ccne1"
"495","Igf1r"
"496","Igf1r"
"497","Chd2"
"498","Chd2"
"499","Akap13"
"500","Vps33b"
"501","Furin"
"502","Crtc3"
"503","Crtc3"
"504","Zfp592"
"505","Rsf1"
"506","Aqp11"
"507","Lrrc32"
"508","Relt"
"509","Wee1"
"510","Pik3c2a"
"511","Itpripl2"
"512","Usp31"
"513","Gga2"
"514","Ubfd1"
"515","Ubfd1"
"516","Ubfd1"
"517","Ubfd1"
"518","Dctn5"
"519","Rbbp6"
"520","Slc25a22"
"521","Slc25a22"
"522","Slc25a22"
"523","Pnpla6"
"524","Slc20a2"
"525","Bag4"
