"","x"
"323","Btaf1"
"324","Dnajc16"
"325","Spen"
"326","Dennd6a"
"327","Rfx3"
"328","Wwp1"
"329","Slc7a1"
"330","Pik3r1"
"331","Ago1"
"332","Rnf10"
"333","Phlda3"
"334","AW549877"
"335","Tlk1"
"336","Arel1"
"337","Smim12"
"338","Agps"
"339","Clspn"
"340","Ube2q1"
"341","Atxn2"
"342","Zc3h6"
"343","Slc35g1"
"344","Ubr3"
"345","Gskip"
"346","Lsm11"
"347","Med26"
"348","Adrb2"
"349","Zswim3"
"350","Hnrnpa1"
"351","Hmga1"
"352","Cldn12"
"353","Zbtb44"
"354","Phf13"
"355","Usp14"
"356","Tnrc6b"
"357","Crebrf"
"358","Pskh1"
"359","Ccdc6"
"360","Rnf24"
"361","Fkrp"
"362","Dcaf7"
"363","Aff4"
"364","Bag5"
"365","Rap2c"
"366","Rictor"
"367","Amer1"
"368","Tor1aip2"
"369","Vamp8"
"370","Pdik1l"
"371","Prkca"
"372","Usp42"
"373","Arf3"
"374","Btla"
"375","Acvr2a"
"376","Zfp622"
"377","Styx"
"378","Pom121"
"379","Ficd"
"380","Kcnn4"
"381","Klhl26"
"382","Socs6"
"383","Dennd1b"
"384","Tmem154"
"385","Setd3"
"386","Bcl2"
"387","Znrf2"
"388","Fam133b"
"389","Eif4b"
"390","Egln2"
"391","Cds2"
"392","Kbtbd2"
"393","Atxn7l3"
"394","Chpt1"
"395","Tpt1"
"396","Irak2"
"397","Clasrp"
"398","Nol4l"
"399","Cd2ap"
"400","Qk"
"401","Rapgef2"
"402","Kif1b"
"403","Scoc"
"404","Naa15"
"405","Usp31"
"406","Akap13"
"407","Myadm"
"408","Csde1"
"409","Zbtb34"
"410","Ddx3y"
"411","Atxn1l"
"412","Ell"
"413","Hs3st3b1"
"414","Fryl"
"415","Tbpl1"
"416","Tuba1a"
"417","1500011B03Rik"
"418","Gpr174"
"419","Zcchc3"
"420","Pdzd8"
"421","Atxn7l3b"
"422","Fam122a"
"423","Ywhaq"
"424","Chd2"
"425","Seh1l"
"426","Plcxd2"
"427","Bcl2l2"
"428","Cbx6"
"429","Rasgef1b"
"430","Lrrc32"
"431","Itpripl2"
"432","Sowahc"
